Date,Country,LocationCode,Location,Depth (ft),Fish,SL (mm),TL (mm),FishLineage,Sponge,SpongeID,SpongeGenus,Luke Fish ID
18-Apr-17,St Eustatius,L09,SW Statia,49,REUS17G017,11.5,na,Lineage2,SEUS17G,tunicate,tunicate,EUS17120
18-Apr-17,St Eustatius,L09,SW Statia,49,REUS17H018,14.3,na,Lineage6,SEUS17H,Ircinia_sp,Ircinia,EUS17121
18-Apr-17,St Eustatius,L09,SW Statia,49,REUS17H019,15,na,Lineage6,SEUS17H,Ircinia_sp,Ircinia,EUS17122
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I020,6.8,na,na,SEUS17I,Xestospongia_muta,Xestospongia,EUS17123
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I021,10.5,na,Lineage1,SEUS17I,Xestospongia_muta,Xestospongia,EUS17124
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I022,10.2,na,na,SEUS17I,Xestospongia_muta,Xestospongia,EUS17125
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I023,10.2,na,Lineage4,SEUS17I,Xestospongia_muta,Xestospongia,EUS17126
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I024,15,na,Lineage4,SEUS17I,Xestospongia_muta,Xestospongia,EUS17127
18-Apr-17,St Eustatius,L09,SW Statia,47,REUS17I025,13,na,na,SEUS17I,Xestospongia_muta,Xestospongia,EUS17128
18-Apr-17,St Eustatius,L09,SW Statia,50,REUS17J016,9.4,na,Lineage4,SEUS17J,Xestospongia_muta,Xestospongia,EUS17129
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K027,19,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17130
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K028,18,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17131
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K029,20.5,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17132
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K030,13.4,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17133
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K031,10.4,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17134
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K032,15,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17135
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K033,12,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17136
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K034,11,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17137
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K035,10,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17138
18-Apr-17,St Eustatius,L09,SW Statia,48,REUS17K036,7.5,na,Lineage4,SEUS17K,Xestospongia_muta,Xestospongia,EUS17139
18-Apr-17,St Eustatius,L10,SW Statia Curasub 17-20,374,REUS17L037,12.2,na,Lineage5,SEUS17L,Aplysina_sp,Aplysina,EUS17200
18-Apr-17,St Eustatius,L10,SW Statia Curasub 17-20,374,REUS17L038,11.5,na,Lineage5,SEUS17L,Aplysina_sp,Aplysina,EUS17201
18-Apr-17,St Eustatius,L10,SW Statia Curasub 17-20,374,REUS17L039,7.6,na,Lineage5,SEUS17L,Aplysina_sp,Aplysina,EUS17202
18-Apr-17,St Eustatius,L10,SW Statia Curasub 17-20,374,REUS17L040,4.5,na,Lineage5,SEUS17L,Aplysina_sp,Aplysina,EUS17203
19-Apr-17,St Eustatius,L11,Valley of the Sponges,45,REUS17M041,10.9,na,Lineage4,SEUS17M,Xestospongia_muta,Xestospongia,EUS17206
19-Apr-17,St Eustatius,L11,Valley of the Sponges,45,REUS17M042,8.2,na,Lineage4,SEUS17M,Xestospongia_muta,Xestospongia,EUS17207
19-Apr-17,St Eustatius,L11,Valley of the Sponges,45,REUS17M043,8.4,na,Lineage4,SEUS17M,Xestospongia_muta,Xestospongia,EUS17208
19-Apr-17,St Eustatius,L11,Valley of the Sponges,45,REUS17M044,6.8,na,Lineage4,SEUS17M,Xestospongia_muta,Xestospongia,EUS17209
19-Apr-17,St Eustatius,L12,Southern Reef,45,REUS17N045,15,na,Lineage4,SEUS17N,Xestospongia_muta,Xestospongia,EUS17210
19-Apr-17,St Eustatius,L12,Southern Reef,45,REUS17N046,10.8,na,Lineage4,SEUS17N,Xestospongia_muta,Xestospongia,EUS17211
19-Apr-17,St Eustatius,L12,Southern Reef,45,REUS17N047,13,na,Lineage4,SEUS17N,Xestospongia_muta,Xestospongia,EUS17212
19-Apr-17,St Eustatius,L12,Southern Reef,45,REUS17N048,8.9,na,Lineage4,SEUS17N,Xestospongia_muta,Xestospongia,EUS17213
19-Apr-17,St Eustatius,L13,SW Statia Curasub 17-21,371,REUS17O049,9.5,na,Lineage5,SEUS17O,Aplysina_sp,Aplysina,EUS17224
19-Apr-17,St Eustatius,L13,SW Statia Curasub 17-21,371,REUS17O050,10,na,Lineage5,SEUS17O,Aplysina_sp,Aplysina,EUS17225
4-Jun-18,Roatan,L14,West End Wall,38,RROA18A001,8.43,na,Lineage1,SROA18A,Xestospongia_muta,Xestospongia,ROA18001
4-Jun-18,Roatan,L14,West End Wall,38,RROA18A002,9.9,na,Lineage1,SROA18A,Xestospongia_muta,Xestospongia,ROA18002
4-Jun-18,Roatan,L15,Gibson's Bite,56,RROA18B003,9.15,na,na,SROA18B,Ircinia_felix,Ircinia,ROA18012
4-Jun-18,Roatan,L15,Gibson's Bite,56,RROA18B004,15.04,na,na,SROA18B,Ircinia_felix,Ircinia,ROA18013
4-Jun-18,Roatan,L15,Gibson's Bite,56,RROA18B005,8.73,na,na,SROA18B,Ircinia_felix,Ircinia,ROA18014
4-Jun-18,Roatan,L15,Gibson's Bite,56,RROA18B006,6.68,na,na,SROA18B,Ircinia_felix,Ircinia,ROA18016
5-Jun-18,Roatan,L16,Octopus Acre,52,RROA18D009,12.45,na,na,SROA18D,Ircinia_strobilina,Ircinia,ROA18026
5-Jun-18,Roatan,L16,Octopus Acre,50,RROA18E010,7.27,na,na,SROA18E,Xestospongia_muta,Xestospongia,ROA18027
5-Jun-18,Roatan,L16,Octopus Acre,49,RROA18F011,7.64,na,na,SROA18F,Ircinia_strobilina,Ircinia,ROA18028
5-Jun-18,Roatan,L16,Octopus Acre,49,RROA18F012,7.73,na,na,SROA18F,Ircinia_strobilina,Ircinia,ROA18029
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G013,13.79,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18048
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G014,15.63,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18049
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G015,10.55,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18050
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G016,12.33,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18051
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G017,10.06,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18052
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G018,11.46,na,na,SROA18G,Xestospongia_muta,Xestospongia,ROA18053
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G019,14.01,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18054
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G020,8.29,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18055
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G021,8.24,na,na,SROA18G,Xestospongia_muta,Xestospongia,ROA18056
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G022,11.43,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18057
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G023,11.79,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18058
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G024,13.09,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18059
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G025,12.98,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18060
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G026,8.92,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18061
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G027,10.07,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18062
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G028,10.6,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18063
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G029,7.27,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18064
7-Jun-18,Roatan,L17,"Seaquest, shallow reef in West End Bay",37,RROA18G030,9,na,Lineage1,SROA18G,Xestospongia_muta,Xestospongia,ROA18074
8-Jun-18,Roatan,L18,Canyon Reef,50,RROA18H031,17.45,na,Lineage1,SROA18H,Ircinia_sp,Ircinia,ROA18081
8-Jun-18,Roatan,L18,Canyon Reef,47,RROA18I034,8.5,na,na,SROA18I,Ircinia_strobilina,Ircinia,ROA18086
8-Jun-18,Roatan,L18,Canyon Reef,47,RROA18I035,8.5,na,na,SROA18I,Ircinia_strobilina,Ircinia,ROA18087
8-Jun-18,Roatan,L14,West End Wall,33,RROA18J037,6.7,na,na,SROA18J,Ircinia_felix,Ircinia,ROA18092
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K038,11.66,na,na,SROA18K,Xestospongia_muta,Xestospongia,ROA18094
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K039,12.69,na,Lineage1,SROA18K,Xestospongia_muta,Xestospongia,ROA18095
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K040,12.15,na,Lineage1,SROA18K,Xestospongia_muta,Xestospongia,ROA18096
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K041,9.64,na,na,SROA18K,Xestospongia_muta,Xestospongia,ROA18097
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K042,9.8,na,na,SROA18K,Xestospongia_muta,Xestospongia,ROA18098
8-Jun-18,Roatan,L14,West End Wall,51,RROA18K043,9.27,na,Lineage1,SROA18K,Xestospongia_muta,Xestospongia,ROA18100
10-Jun-18,Roatan,L19,Moonlight,48,RROA18M045,8.98,na,na,SROA18M,Callyspongia_plicifera,Callyspongia,ROA18172
10-Jun-18,Roatan,L20,Bikini Bottom,28,RROA18N046,11.36,na,Lineage1,SROA18N,Xestospongia_muta,Xestospongia,ROA18175
10-Jun-18,Roatan,L20,Bikini Bottom,28,RROA18N047,9.01,na,Lineage1,SROA18N,Xestospongia_muta,Xestospongia,ROA18176
10-Jun-18,Roatan,L19,Moonlight,41,RROA18P049,8.74,na,na,SROA18P,Agelas_tubulata,Agelas,ROA18181
10-Jun-18,Roatan,L19,Moonlight,57,RROA18Q050,9.05,na,na,SROA18Q,Aplysina_sp,Aplysina,ROA18189
10-Jun-18,Roatan,L20,Bikini Bottom,33,RROA18R051,10.22,na,na,SROA18R,Agelas_tubulata,Agelas,ROA18192
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S052,16.07,na,Lineage1,SROA18S,Verongula_gigantea,Verongula,ROA18194
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S053,12.1,na,Lineage1,SROA18S,Verongula_gigantea,Verongula,ROA18195
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S054,14.92,na,na,SROA18S,Verongula_gigantea,Verongula,ROA18196
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S055,10.66,na,Lineage1,SROA18S,Verongula_gigantea,Verongula,ROA18197
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S056,14.03,na,Lineage1,SROA18S,Verongula_gigantea,Verongula,ROA18198
10-Jun-18,Roatan,L20,Bikini Bottom,27,RROA18S057,7.54,na,Lineage1,SROA18S,Verongula_gigantea,Verongula,ROA18199
